name,handedness,height,weight,avg,HR
Jim Maloney,L,74,190,0.201,7
Andre Robertson,R,70,155,0.251,5
Jerry Zimmerman,R,74,185,0.204,3
Jack Lazorko,R,71,200,0,0
Mike Paxton,R,71,190,0,0
Chet Lemon,R,72,190,0.273,215
Rickey Keeton,R,74,190,0,0
Phil Mankowski,L,72,180,0.264,8
Cleon Jones,R,72,185,0.281,93
Joaquin Andujar,B,72,170,0.127,5
Mike Lum,L,72,180,0.247,90
Johnny Grubb,L,75,175,0.278,99
Curt Motton,R,68,164,0.213,25
Johnny Bench,R,73,197,0.267,389
Dale Berra,R,72,180,0.236,49
Terry Felton,R,73,180,0,0
Bob Meacham,B,73,175,0.236,8
Mark Clear,R,76,200,0,0
Carl Warwick,R,70,170,0.248,31
Sam Bowens,R,73,188,0.223,45
George Wright,B,71,180,0.245,42
Luis Aguayo,R,69,173,0.236,37
Hal Lanier,R,74,180,0.228,8
Mike Pazik,L,74,195,0,0
Len Randle,B,70,169,0.257,27
Greg Pryor,R,72,180,0.25,14
Jim Traber,L,72,194,0.227,27
Dave Nelson,R,70,160,0.244,20
Lynn Jones,R,69,175,0.252,7
Bryan Little,B,70,160,0.245,3
Ken Suarez,R,69,175,0.227,5
Rick Peters,B,69,170,0.277,2
Ron Stone,L,74,185,0.241,6
Rich Barnes,R,76,186,0,0
Tommie Agee,R,71,195,0.255,130
Bob Bailey,R,73,180,0.257,189
Cap Peterson,R,74,195,0.23,19
Ted Uhlaender,L,74,190,0.263,36
Ted Simmons,B,71,193,0.285,248
Bobby Murcer,L,71,160,0.277,252
Dick Tracewski,R,71,160,0.213,8
Dave Frost,R,78,235,0,0
Mark Souza,L,72,180,0,0
Bill Nahorodny,R,74,200,0.241,25
Bill Madlock,R,71,180,0.305,163
Bob Boone,R,74,195,0.254,105
Rick Jones,L,77,190,0,0
Steve Kemp,L,72,195,0.278,130
Rick Burleson,R,70,165,0.273,50
Jim Dorsey,R,79,190,0,0
Mark Ciardi,R,72,180,0,0
Dennis Burtt,R,72,180,0,0
Carl Taylor,R,74,200,0.266,10
Terry Harmon,R,74,180,0.233,4
Mike Hargrove,L,72,195,0.29,80
Rich Yett,R,74,187,0,0
Steve Hovley,L,70,188,0.258,8
Don Leppert,R,74,220,0.229,15
Matt Williams,R,73,200,0,0
Jim Burton,R,75,195,0,0
Rick Anderson,R,74,210,0,0
Charlie Mitchell,R,75,170,0,0
Bill Paschall,R,72,175,0,0
John Bohnet,B,72,175,0,0
Byron McLaughlin,R,73,175,0,0
Lee May,R,75,195,0.267,354
Luis Quintana,L,74,175,0,0
Sam McDowell,L,77,190,0.154,2
Rick Renick,R,72,188,0.221,20
